prec,2015,28.97,6.11,6.36,113.04,112.03,185.43,202.95,243.09,118.62,46.74,68.33,126.01
tmin,2015,-10.68,-16.09,-3.48,4.3,10.84,15.8,16.79,14.87,13.76,5.47,0.13,-2.96
tmax,2015,0.29,-4.72,11.11,17.65,21.4,26.65,27.81,25.86,26.46,17.9,11.04,4.48
prec,2016,10.69,9.69,57.42,95.77,90.18,43.44,141.99,251.21,227.08,19.82,38.36,33.79
tmin,2016,-10.5,-5.94,0.11,4.06,9.07,16.67,17.5,16.52,13.74,6.9,0.41,-8.39
tmax,2016,-2.8,2.13,12.2,16.7,22.28,30.27,28.65,27.87,25.81,19.82,13.96,0.3
prec,2017,46.76,33.54,71.39,97.55,137.16,72.4,71.63,103.14,73.66,164.6,7.89,9.41
tmin,2017,-7.2,-4.29,-1.77,5.69,8.85,15.26,17.78,13.63,12.46,5.9,-3.33,-9.61
tmax,2017,-0.3,7.9,8.24,16.59,22.03,29.43,30.5,26.5,26.85,17.53,9.09,1.04
prec,2018,28.72,35.06,81.8,39.13,153.67,323.86,121.93,193.05,200.16,86.88,46.24,59.19
tmin,2018,-12.35,-11.03,-2.56,-1.46,13.73,17.69,17.33,16.81,13.15,3.57,-4.93,-6.3
tmax,2018,-1.61,-0.6,6.91,11.72,26.52,29.02,29.43,28.11,24.41,15.38,3.89,2.91
prec,2019,25.92,52.59,30.74,77.98,215.91,73.67,120.15,59.19,122.68,124.72,44.2,26.93
tmin,2019,-12.8,-14.6,-5.14,3.56,9.05,15.54,17.97,15.02,14.67,2.01,-4.81,-7.11
tmax,2019,-2.46,-3.77,4.8,17.11,20.38,27.09,29.62,26.93,26.59,13.76,5.46,4.11
prec,2020,34.3,14.99,69.61,50.57,152.15,45.47,81.8,51.57,83.32,32.78,33.28,32.26
tmin,2020,-9.21,-9,-0.11,1.93,9.46,17.44,17.74,14.8,9.9,1.65,-2.05,-8.78
tmax,2020,-0.9,1.61,11.02,15.87,20.13,29.3,30.52,29.17,23.49,14.62,11.82,2.81
prec,2021,38.61,18.8,66.8,15.25,96.79,50.05,91.96,114.05,61.73,164.09,42.93,24.9
tmin,2021,-8.91,-15.46,-0.2,4.22,9.64,16.27,16.97,16.4,11.65,7.24,-2.55,-5.79
tmax,2021,-0.48,-6.29,12.28,17.74,21.33,30.95,29.61,29.64,27.8,18.94,10.59,6.2
prec,2022,24.14,5.34,101.1,140.98,146.31,212.86,76.72,73.15,55.63,22.61,63.77,49.79
tmin,2022,-15.93,-12.86,-2.26,1.57,11.16,16.41,17.89,16.37,11.42,1.63,-3.44,-9.82
tmax,2022,-2.4,1.11,8.69,13.96,22.78,29.43,29.8,29.17,25.52,19.03,8.74,-0.36
prec,2023,63.77,72.4,53.86,73.41,94.24,72.65,83.57,107.95,63.76,85.1,3.3,39.63
tmin,2023,-8.82,-8.93,-3.82,2.63,10.54,15.33,16.47,17.07,12.39,6.29,-1.96,-2.57
tmax,2023,0.04,3.62,7.81,17.59,25.22,29.22,28.78,29.2,27.74,18.39,12.06,6.87
prec,2024,26.17,1.53,84.84,126.75,227.59,114.83,131.58,65.03,21.09,57.41,103.13,0
tmin,2024,-9.46,-4.44,-1.42,4.57,10.56,16.87,17.47,16.36,11.35,5,0.02,-10.28
tmax,2024,-2.17,10.77,12.49,18.19,23.98,29.26,28.49,28.14,27.96,22.85,10.09,4.44