prec,2015,4.83,23.88,5.34,87.64,116.08,175.26,151.39,209.8,128.27,32.26,69.85,128.28
tmin,2015,-9.76,-14.9,-3.13,4.81,11.13,16.17,17.53,15.69,14.76,6.06,0.69,-3.03
tmax,2015,1.19,-3.77,11.88,17.91,22.19,26.76,27.72,26,26.98,18.57,11.19,3.8
prec,2016,15.25,17.28,37.6,103.89,108.71,24.64,148.59,209.04,200.66,14.99,44.2,29.72
tmin,2016,-10.22,-5.61,1.16,4.8,10.29,17.43,18.22,17.6,14.46,8.16,1.98,-8.17
tmax,2016,-2.74,2.47,13.1,17.37,22.24,29.94,28.67,27.67,26.74,21.11,14.07,-0.02
prec,2017,47,30.48,79,77.73,156.46,43.94,25.15,84.84,45.72,154.18,6.61,4.32
tmin,2017,-7.19,-3.31,-1.38,5.98,9.86,16.53,18.29,15.35,13.8,7.17,-1.94,-9.17
tmax,2017,-0.77,8.55,8.82,16.83,22.74,29.37,30.52,26.43,27.06,18.11,9.2,1.37
prec,2018,33.28,29.47,63.25,32.26,101.09,281.94,106.93,213.61,171.45,123.19,41.15,66.55
tmin,2018,-11.59,-10.67,-2.44,-1.02,14.46,17.89,17.94,17.43,13.83,4.28,-4.25,-5.74
tmax,2018,-1.95,-0.52,6.83,11.74,26.76,28.81,29.09,28.02,25.42,16.16,4.33,2.59
prec,2019,13.73,43.19,38.1,49.28,211.33,100.84,117.09,33.02,115.82,133.1,33.79,27.44
tmin,2019,-12.07,-13.61,-5.06,4.56,9.05,16.15,19.22,15.91,15.57,3.28,-4.54,-6.27
tmax,2019,-2.33,-4.52,4.6,18.16,20.81,27.07,29.7,27.12,27.04,15.67,5.48,4.48
prec,2020,19.31,12.7,67.31,37.85,134.12,39.88,70.87,25.91,81.03,27.19,49.54,20.07
tmin,2020,-8.67,-8.65,0.28,1.87,10.32,18.27,18.54,15.93,11.26,2.2,0,-7.2
tmax,2020,-0.43,1.96,11.31,16.26,20.32,29.75,30.3,29.03,24.23,15.3,13.83,3.27
prec,2021,9.15,10.67,64.27,12.71,85.09,45.21,75.69,79.25,41.66,162.05,29.72,11.69
tmin,2021,-8.85,-17.12,1.52,5.22,11.02,18.17,18.19,18.41,14.02,8.92,-0.5,-3.94
tmax,2021,-0.63,-6.23,12.96,18,21.63,31.04,29.62,29.57,28.54,19.82,11.52,7.61
prec,2022,17.27,3.56,90.68,113.03,103.13,228.09,81.28,129.03,47.75,13.21,33.79,38.62
tmin,2022,-14.16,-11.51,-1.58,1.85,11.68,17.74,19,17.74,12.84,4.7,-1.65,-9.3
tmax,2022,-1.02,2,9.91,13.37,23.44,29.54,30.14,28.85,25.75,19.17,9.79,-0.47
prec,2023,57.92,64.26,28.96,54.87,84.07,104.14,131.57,109.22,46.48,45.98,2.03,34.04
tmin,2023,-7.67,-6.57,-2.76,3.37,11.88,16.67,17.17,17.49,13.28,7.15,-1.59,-2.3
tmax,2023,-0.11,4.07,7.37,18.15,24.87,29.02,28.73,29.78,28.24,19.01,12.32,7.3
prec,2024,23.38,1.52,55.88,108.46,208.28,93.98,132.85,52.32,48.77,39.37,41.4,1.02
tmin,2024,-9.35,-3.06,-1.02,5,11.35,17.28,17.46,17.16,13.05,7.2,1.02,-11.6
tmax,2024,-1.9,11.85,14.23,18.89,24.94,29.87,29.25,29.92,28.72,24.27,10.67,1.53