prec,2015,8.39,39.12,9.91,76.71,143.01,133.86,132.59,177.29,71.63,46.74,70.87,208.3
tmin,2015,-11.54,-17.24,-5.61,2.98,10.29,15.31,16.42,14.56,13.56,4.81,0.31,-2.72
tmax,2015,-2.04,-6.13,7.83,16.56,20.73,25.63,27.08,25.57,26.7,17.44,9.81,4.09
prec,2016,13.73,23.63,67.58,45.72,85.86,225.56,88.9,175.01,147.32,43.44,44.96,34.3
tmin,2016,-12.18,-7.58,-1.47,3.04,8.67,15.93,17.2,16.57,13.35,5.98,0.52,-9.53
tmax,2016,-4.52,0.52,10.11,15.81,21.24,28.69,27.26,27.13,25.26,18.81,13.1,-1.7
prec,2017,52.84,21.6,62.49,90.93,111.51,121.67,70.37,101.86,24.64,187.21,12.71,8.9
tmin,2017,-8.03,-5.46,-3.62,4.07,8.31,14.73,16.87,13.68,11.67,5.77,-3.85,-10.14
tmax,2017,-1.61,6.13,6.94,15.7,20.26,27.95,28.56,25.04,25.83,17.33,7.38,0.65
prec,2018,38.11,33.04,47.5,25.92,75.19,160.29,144.02,190.5,263.65,155.7,53.34,62.24
tmin,2018,-14.27,-12.84,-4.23,-3.17,13.35,17.24,16.67,15.89,12.72,3.03,-5.54,-6.63
tmax,2018,-4.16,-2.38,5.36,9.44,25.56,28.13,28.16,27.35,24.19,14.3,2.57,1.96
prec,2019,28.96,54.62,32.51,71.13,194.07,79.5,64.27,66.3,132.85,129.79,34.55,34.3
tmin,2019,-13.1,-15.63,-6.24,2.24,7.69,14.56,18.11,14.26,13.75,2.58,-5.04,-6.83
tmax,2019,-3.78,-4.76,3.09,15.19,18.8,25.98,29.04,26.15,24.89,14.27,3.7,3.73
prec,2020,21.35,14.74,73.68,52.09,128.79,284.75,55.38,39.88,141.23,78.24,36.33,25.4
tmin,2020,-10.02,-10.92,-1.06,0.7,8.35,16.54,17.72,14.64,9.35,1.94,-1.33,-8.84
tmax,2020,-1.19,-0.17,9,14.15,19.41,27.81,29.64,28.25,22.2,13.85,11.87,1.76
prec,2021,31,21.6,54.62,14.23,115.84,28.2,84.84,217.68,21.34,129.8,36.58,32.52
tmin,2021,-10.78,-17.04,-0.68,2.48,9.05,16.7,16.85,15.63,11.28,7.35,-2.68,-6.15
tmax,2021,-1.78,-7.6,9.87,15.59,20.38,29.48,28.48,28.12,25.63,18.75,9.09,4.87
prec,2022,20.34,6.36,105.41,100.59,92.72,107.95,107.7,106.18,35.57,29.22,60.46,43.69
tmin,2022,-18.03,-14.44,-3.84,-0.19,9.66,14.89,17.22,15.87,10.94,1.81,-3.61,-10.66
tmax,2022,-5.04,-1.37,7.47,10.93,21.65,27.69,28.49,27.4,24.33,17.44,8.5,-2.19
prec,2023,52.34,58.17,27.69,43.69,56.9,50.3,79.76,31.75,17.04,85.1,6.1,25.92
tmin,2023,-9.16,-10.66,-4.81,1.67,9.76,14.19,15.52,15.65,11.67,5.18,-3.33,-3.42
tmax,2023,-1.08,1.36,5.28,16.22,23.54,27.93,27.9,28.41,26.45,18.05,9.87,5.52
prec,2024,50.3,2.03,56.65,109.99,220.99,131.83,219.47,65.28,8.9,41.91,89.42,0.51
tmin,2024,-10.04,-5.56,-3.39,3.04,9.59,16.83,16.42,15.29,11.24,4.92,-0.76,-10.97
tmax,2024,-3.53,9.18,10.56,16.02,22.78,28,26.65,26.86,26.35,21.76,8.83,0.69