prec,2015,9.14,40.13,14.22,78.99,144.27,203.45,253.49,101.6,124.46,37.34,115.82,131.32
tmin,2015,-10.79,-14.64,-3.43,5.26,10.82,16.4,17.92,16,14.73,5.94,1.19,-2.38
tmax,2015,1.67,-1.96,11.76,18.65,22.01,27.34,28.98,27.66,27.66,19.29,13,6.45
prec,2016,17.78,32.51,54.86,83.06,95.76,49.28,151.38,147.07,105.41,34.8,25.91,33.53
tmin,2016,-10.46,-5.92,0.7,4.94,10.16,16.99,17.89,17.93,14.46,7.71,1.8,-8.67
tmax,2016,-0.48,4.89,13.55,17.74,22.13,30.94,29.53,29.06,27.2,21,15.48,1.67
prec,2017,37.08,13.72,72.39,125.22,112.78,83.06,35.56,92.96,58.42,138.18,10.67,10.41
tmin,2017,-7.31,-3.97,-1.61,5.8,9.62,15.85,19.09,14.59,13.22,6.92,-2.61,-8.44
tmax,2017,1.57,10.22,11.27,18.11,22.37,29.96,32.22,28.23,28.07,19.34,10.61,3.48
prec,2018,26.16,38.1,55.37,22.1,109.73,178.82,52.07,126.49,191.77,156.97,55.63,58.93
tmin,2018,-12.15,-10.31,-2.49,-1.06,14.44,17.72,17.43,17.22,13.7,3.91,-5.37,-5.67
tmax,2018,-0.57,1.54,8.58,12.7,27.92,29.83,30.85,30.66,25.63,16.51,5.17,4.85
prec,2019,57.66,58.93,74.17,52.07,268.48,109.22,75.95,128.78,164.85,121.92,24.89,27.18
tmin,2019,-10.84,-12.96,-4.53,4.15,9.27,15.7,18.94,16.48,15.44,3.46,-4.11,-5.27
tmax,2019,-0.13,-2.1,6.36,17.57,20.02,27.13,30.54,27.65,27.15,15.43,6.89,5.72
prec,2020,47.24,5.59,71.12,60.45,127.76,111.51,111.25,20.32,104.65,50.55,68.83,41.15
tmin,2020,-8.2,-8.12,0.18,2.13,9.7,17.46,19.06,16.31,10.76,2.89,-0.22,-7.24
tmax,2020,0.67,3.08,11.4,15.69,20.24,28.98,30.3,29.61,23.46,14.96,13.59,4.07
prec,2021,40.89,16.51,83.06,45.97,104.65,126.75,159.77,67.82,31.5,180.59,40.89,14.22
tmin,2021,-8.03,-14.75,0.63,3.87,10.2,17.04,18.26,17.96,13.07,7.65,-1.24,-4.14
tmax,2021,1.38,-4.65,13.32,16.81,21.33,30.02,29.98,30.47,28.2,19.98,11.72,8.69
prec,2022,27.69,6.6,72.14,78.74,95.25,93.22,56.13,64.52,78.49,34.8,85.34,47.75
tmin,2022,-14.71,-11.55,-3.15,1.31,11.54,16.65,18.79,17.54,12.7,3.61,-2.41,-9.77
tmax,2022,-1.43,3.45,10.7,14.44,22.81,29.57,30.97,30.97,26.8,20.11,10.69,1.25
prec,2023,39.88,66.8,32.77,60.71,54.86,78.74,86.36,112.27,54.1,55.37,10.41,57.15
tmin,2023,-6.65,-8.23,-3.48,3.76,11.23,15.8,17.57,17.8,13,6.33,-2.28,-1.86
tmax,2023,2.85,6.21,8.44,18.76,25.02,29.69,29.87,29.71,27.89,19.82,12.42,7.85
prec,2024,55.12,3.81,55.37,107.95,198.12,101.35,128.02,100.84,40.64,63.25,75.18,0.51
tmin,2024,-10.09,-3.93,-0.95,5.06,11.34,17.43,17.59,16.61,12.76,6.46,0.69,-10.28
tmax,2024,-1.79,12.15,13.23,18.54,24.44,30.09,29.37,29.14,27.64,23.85,11.67,3.06