prec,2015,2.3,28.96,12.45,111.77,123.96,130.57,85.1,136.66,161.8,37.09,90.43,158.51
tmin,2015,-10.32,-14.03,-3.53,4.5,9.82,16.11,17.17,15.56,14.41,5.83,0.86,-4.32
tmax,2015,2.2,-2.66,12.13,17.3,21.06,26.87,28.39,27.02,26.72,19.2,11.84,4.1
prec,2016,17.03,26.17,23.88,120.15,132.6,69.85,171.71,132.85,150.88,60.45,34.81,29.22
tmin,2016,-10.65,-5.06,0.11,4.04,9.67,17.57,17.67,16.96,14.25,7.28,1.76,-9.65
tmax,2016,-2.62,4.52,13.92,17.37,21.59,30.4,28.52,28.59,26.34,20.02,13.91,0.28
prec,2017,32.01,22.35,71.89,84.84,178.32,95.76,38.11,98.3,62.24,144.28,8.13,8.14
tmin,2017,-7.96,-4.37,-1.38,4.83,9.07,15.79,18.56,14.67,13.43,6.36,-2.76,-8.7
tmax,2017,-0.36,7.62,10.14,16.83,21.74,28.97,30.61,26.81,26.74,18.05,9.17,2.28
prec,2018,21.08,20.08,45.49,39.39,63.76,267.48,84.58,294.9,119.89,106.18,22.1,71.13
tmin,2018,-12.74,-11.27,-1.88,-1.39,13.98,17.7,17.35,16.65,13.69,3.74,-6.11,-7.03
tmax,2018,-2.9,-1.17,7.78,11.94,26.82,29.17,28.99,28.15,25.3,14.74,4.11,0.84
prec,2019,12.71,40.65,69.34,35.32,200.15,74.69,36.34,137.93,153.93,113.04,17.27,21.6
tmin,2019,-10.72,-14.74,-5.36,3.41,8.8,16.02,18.39,16.65,14.77,3.06,-4.5,-6.15
tmax,2019,-1.33,-4.66,4.78,17.48,19.71,27.37,29.81,27.22,26.9,14.7,6.45,4.05
prec,2020,22.1,2.55,54.62,32.02,150.89,47,80.01,35.31,79,25.15,42.17,20.84
tmin,2020,-9.35,-8.74,-1.13,1.41,9.5,17.72,18.31,16.24,10.72,2.06,-0.24,-7.69
tmax,2020,-0.43,3.45,10.91,16.56,19.59,29.96,30.11,29.19,23.72,14.37,12.85,2.72
prec,2021,39.12,25.42,103.64,31.25,81.29,102.88,150.88,73.66,57.92,95.01,18.8,6.1
tmin,2021,-7.26,-14.46,0.57,3.03,10.18,16.86,17.47,17.48,13.12,7.24,-1.38,-5.05
tmax,2021,-0.17,-6.45,12.28,16.72,21.15,29.94,29.18,29.57,26.86,19.09,11.46,6.94
prec,2022,13.72,5.09,86.37,72.91,134.11,84.33,52.33,45.22,88.91,18.04,29.98,23.37
tmin,2022,-14.77,-11.94,-3.65,0.5,10.36,16.46,18.05,16.7,11.95,3.22,-3.2,-11.06
tmax,2022,-1.9,3.13,10.04,14.78,22.15,28.98,29.77,29.63,26.34,18.7,8.93,-0.84
prec,2023,32.77,56.14,23.89,76.22,19.31,68.84,86.11,179.58,21.6,44.7,14.48,37.85
tmin,2023,-7.54,-8.89,-4.65,2.28,10.91,15.94,16.91,16.67,12.57,6.2,-2.66,-3.28
tmax,2023,0.2,3.63,7.04,18.35,24.74,29.42,28.17,28.44,27.37,18.3,10.98,6.13
prec,2024,26.68,1.53,75.95,65.03,196.85,81.03,109.99,74.93,21.34,59.95,82.3,0.01
tmin,2024,-11.15,-4.15,-2.47,3.87,10.27,16.9,17.15,16.28,12.89,7.11,-0.37,-10.4
tmax,2024,-4.23,10.46,11.95,18.06,23.53,28.97,28.43,28.09,27.97,22.81,10.17,2.7