prec,2015,7.37,46.23,11.68,85.85,248.92,137.92,219.71,187.2,172.47,13.72,110.49,171.96
tmin,2015,-10.08,-15.28,-3.72,4.56,9.93,16.17,17.8,15.18,14.35,6.2,0.39,-3.67
tmax,2015,1.92,-1.98,11.67,17.09,20.84,26.75,28.31,26.73,26.01,18.56,11.89,4.76
prec,2016,17.53,23.88,45.97,100.58,119.38,65.28,198.12,202.18,137.67,22.35,30.23,45.97
tmin,2016,-10.79,-6.21,-0.22,3.64,9.62,17.32,17.68,17.57,14.27,7.89,1.94,-9.59
tmax,2016,-1.2,5.29,13,16.67,21.13,29.88,28.51,27.66,26.19,20.59,14.5,0.94
prec,2017,15.75,16.26,80.26,84.07,173.23,116.34,19.81,79.76,89.41,191.01,4.57,11.94
tmin,2017,-7.62,-4.9,-2.31,5.21,9.25,15.93,18.89,14.04,13.71,6.8,-2.57,-9.1
tmax,2017,0.32,9.22,10.3,16.81,21.49,28.95,31.38,27.15,27.6,18.94,9.85,2.65
prec,2018,27.43,29.47,43.69,22.35,135.89,196.09,67.82,144.53,285.75,137.67,52.58,78.23
tmin,2018,-12.78,-11.05,-2.6,-2.02,14.33,17.78,17.43,16.71,13.52,3.42,-5.93,-5.87
tmax,2018,-0.85,0.32,8.33,12.2,27.32,29.09,29.89,28.87,24.96,15.54,4.94,3.43
prec,2019,34.8,54.1,67.06,33.27,252.48,151.13,67.31,94.23,160.02,132.84,17.53,33.78
tmin,2019,-11.39,-14.67,-5.41,3.22,8.51,15.35,18.85,16.2,14.59,2.51,-4.96,-6.24
tmax,2019,-0.44,-3.97,5.39,17.61,19.78,27.07,30.06,27.13,27.43,14.87,6.63,5.72
prec,2020,33.53,1.53,74.68,57.92,127.25,72.14,149.86,8.9,86.36,38.1,57.4,46.23
tmin,2020,-9.62,-9.67,-1.11,0.85,9.12,17.11,18.69,15.77,10.48,2.37,-0.69,-8.75
tmax,2020,-0.27,2.97,11.67,15.54,20.05,28.72,29.89,29.14,23.85,15.28,14.52,4.21
prec,2021,28.7,15.5,100.59,36.83,130.56,109.74,121.67,107.7,33.27,180.09,29.22,10.16
tmin,2021,-8.39,-15.54,-0.25,2.37,10.02,16.2,17.26,17.22,11.7,6.67,-1.74,-4.89
tmax,2021,0.5,-5.71,13.05,15.96,20.84,29.15,29.03,29.59,26.84,19.55,11.48,7.58
prec,2022,22.1,5.09,54.36,80.52,88.65,49.28,53.6,72.91,103.63,28.96,61.98,40.13
tmin,2022,-15.63,-13.42,-4.65,-0.15,10.2,15.8,17.78,16.65,12,1.7,-3.41,-11.04
tmax,2022,-1.49,3.07,10.5,14.7,22.33,28.94,30.29,30.13,26.04,19.33,9.67,0
prec,2023,41.41,52.58,19.81,64.77,54.1,70.61,115.57,127,53.34,76.71,8.13,53.34
tmin,2023,-8.08,-10.4,-4.09,2.08,9.91,15.84,16.86,17.06,12.47,5.82,-3.33,-2.76
tmax,2023,1.38,4.46,7.62,17.7,24.3,28.93,28.23,28.63,26.75,19.28,10.59,6.41
prec,2024,48.26,2.29,61.98,105.41,206.25,172.21,74.17,93.47,55.12,49.02,82.3,0
tmin,2024,-11.19,-4.94,-2.44,3.72,10.36,17,16.97,15.7,12.57,6.32,-0.27,-11.18
tmax,2024,-3.43,10.95,12.41,18.1,23.53,29,28.51,28.26,27.18,22.87,11,3.26