prec,2015,9.66,29.73,9.15,126.24,157.73,111.51,235.71,205.23,115.57,42.67,145.8,181.61
tmin,2015,-10.06,-14.33,-2.65,4.17,8.35,14.8,16.33,14.52,13.87,5.65,-0.2,-4.91
tmax,2015,0.02,-3.65,11.49,17.28,19.66,26.07,27.26,25.85,25.39,17.76,9.85,1.92
prec,2016,19.06,26.68,44.96,101.61,121.92,33.02,135.38,127,147.83,70.1,22.86,36.07
tmin,2016,-11.74,-6.51,-0.57,3.09,8.98,16.82,16.63,16.17,12.81,5.91,1.09,-10.91
tmax,2016,-4.3,1.09,11.2,15.15,20.75,29.94,27.83,27.28,24.72,18.31,12.63,-1.38
prec,2017,35.31,32.26,94.24,77.22,192.02,49.78,105.41,242.06,152.4,163.84,2.29,12.71
tmin,2017,-9,-5.49,-3.05,3.44,8.03,14.98,17.96,13.87,12.62,5.26,-3.64,-9.7
tmax,2017,-1.85,5.99,7.35,14.69,20.41,28.54,30.41,25.83,25.13,16.44,7.74,0.37
prec,2018,20.58,21.6,60.97,23.88,73.15,257.56,98.04,203.71,93.47,99.83,26.94,47.25
tmin,2018,-13.49,-12.7,-2.92,-2.7,13.12,17.13,16.57,15.41,13.2,2.41,-6.52,-7.08
tmax,2018,-3.94,-3,5.77,9.41,25.38,28.33,28.2,27.15,24.06,13.61,3.44,1
prec,2019,6.11,59.44,54.87,31.76,188.21,48.01,92.71,61.47,143.26,144.27,29.21,49.28
tmin,2019,-11.13,-15.77,-6.13,2.31,7.65,14.5,17.74,14.91,14.35,2.22,-5.48,-6.82
tmax,2019,-2.28,-5.95,3.6,15.24,18.58,26.92,28.56,26.17,25.85,14.13,5.2,3.75
prec,2020,22.36,12.19,70.36,12.97,76.97,89.42,40.14,42.17,98.56,46.74,40.9,19.05
tmin,2020,-10.04,-9.7,-1.69,0.3,8.81,18.06,18.99,15.9,10.39,2.04,-1.59,-7.57
tmax,2020,-0.74,1.73,9.72,15.24,20.02,29.81,30.26,29.29,23.69,13.08,12.16,1.98
prec,2021,30.23,24.13,79,10.42,94.75,53.34,88.14,105.92,41.15,143.27,13.21,13.46
tmin,2021,-7.31,-16.27,-0.66,2.22,9.16,15.76,16.98,16.69,11.3,5.82,-2.69,-5.76
tmax,2021,0.18,-6.65,11.88,16.37,20.75,30.46,29.64,29.44,26.7,19.16,10.48,6.09
prec,2022,11.44,4.32,35.31,67.57,124.47,70.62,70.62,77.73,51.31,17.53,10.93,36.83
tmin,2022,-15.75,-13.5,-4.14,-0.98,9.95,15.42,17.63,15.57,10.44,1.61,-4.59,-11.85
tmax,2022,-1.52,2.44,9.46,14.07,22.01,29.06,29.96,28.95,25.93,18.82,8.57,-1.86
prec,2023,39.37,51.06,33.03,53.85,51.82,61.47,55.88,80.52,47.5,105.16,5.08,55.12
tmin,2023,-9.73,-10.08,-5.07,2.87,11.19,15.16,16.19,17.01,11.83,4.52,-4.26,-4.3
tmax,2023,0.34,2.08,5.88,16.72,24.89,29.37,28.35,29.23,27.09,16.56,11.22,6.13
prec,2024,33.54,7.37,81.03,110.49,189.99,88.9,72.14,88.14,5.08,26.67,144.27,1.27
tmin,2024,-11.58,-5.53,-3.73,4.56,10.41,17.26,16.65,15.05,12.93,4.13,-1.13,-10.9
tmax,2024,-4.23,8.99,11.36,17.65,22.93,28.47,29.04,27.33,27.59,22.37,9.85,1.32