prec,2015,12.45,30.99,14.99,85.6,129.54,166.37,145.8,138.43,104.9,43.43,102.11,123.44
tmin,2015,-11.61,-16.13,-5,3.87,10.14,15.43,16.8,14.87,13.95,4.94,-0.22,-3.54
tmax,2015,-0.05,-3.67,10.29,17.99,21.51,26.98,28.57,27.08,27.36,18.77,11.48,5.02
prec,2016,16,25.65,61.47,81.79,116.08,92.2,145.54,157.99,153.67,51.56,35.31,38.86
tmin,2016,-11.79,-6.92,-0.72,3.81,9.46,16.39,17.31,16.98,13.35,6.31,0.65,-9.87
tmax,2016,-2.28,2.76,12.03,16.5,22.04,30.06,28.89,28.63,26.24,19.78,14.19,-0.07
prec,2017,39.88,25.4,65.28,96.01,124.21,91.69,75.44,103.12,59.69,136.91,11.18,10.67
tmin,2017,-8.66,-5.2,-2.89,4.74,8.76,15.19,17.67,14.03,12.11,5.77,-3.85,-9.94
tmax,2017,-0.05,7.58,8.63,16.83,21.49,29.28,30.63,26.68,27.02,18.32,8.7,1.72
prec,2018,26.42,42.16,63.5,43.18,123.7,191.52,92.46,170.69,207.52,123.7,49.02,55.63
tmin,2018,-13.26,-12.36,-3.59,-2.35,13.24,17.43,16.79,16.51,12.82,2.74,-6.07,-6.61
tmax,2018,-1.98,-0.83,6.8,10.59,26.52,29.13,29.53,28.95,25,15.25,4.06,2.85
prec,2019,36.07,59.44,60.2,76.96,219.46,102.62,86.11,88.9,161.29,129.29,38.86,33.78
tmin,2019,-12.37,-14.92,-6.06,2.94,8.3,15.02,18.47,15.4,14.48,2.65,-4.85,-6.79
tmax,2019,-1.94,-3.81,4.64,15.81,19.05,26.61,29.92,26.88,25.8,14.34,5.22,3.66
prec,2020,36.32,10.16,74.68,41.91,113.54,127.25,77.98,30.99,103.89,47.24,52.83,30.73
tmin,2020,-9.39,-9.75,-0.94,0.98,8.98,16.78,18.33,15.59,10.15,1.57,-1.02,-8.33
tmax,2020,-0.74,1.32,9.5,14.81,19.57,28.78,30.07,29.06,23.19,13.72,12.2,2.65
prec,2021,33.78,20.32,72.64,40.13,98.55,91.44,106.43,119.13,45.97,127,23.62,21.08
tmin,2021,-9.01,-15.91,-0.75,2.91,9.52,16.57,17.35,16.76,11.83,7.06,-2.51,-6
tmax,2021,0.11,-6.03,11.67,16.09,21.04,30.15,29.39,29.72,27,19.7,10.17,6.22
prec,2022,18.29,7.37,66.8,77.22,91.44,91.19,82.55,92.46,49.53,23.37,52.58,41.66
tmin,2022,-16.59,-13.63,-4.02,0.32,10.43,15.81,17.69,16.43,11.36,2.19,-3.54,-11.06
tmax,2022,-2.83,1.01,8.76,13.31,22.65,28.87,29.89,29.13,25.71,18.71,9.5,-0.88
prec,2023,49.02,59.44,36.83,57.4,63.25,76.71,87.12,81.79,53.09,81.28,8.38,46.99
tmin,2023,-8.75,-10.06,-4.84,2.64,10.52,15.25,16.09,16.52,12.52,5.39,-3.75,-3.37
tmax,2023,0.32,2.94,6.36,17.36,24.64,29.12,28.96,29.33,26.87,18.6,10.62,6.49
prec,2024,45.72,4.83,65.53,111,198.12,134.11,132.08,79.76,19.56,44.45,83.06,0.51
tmin,2024,-10.72,-4.85,-2.63,3.94,10.63,16.43,16.77,15.88,11.83,5.34,-0.61,-11.18
tmax,2024,-2.78,10.04,11.74,17.06,23.71,28.83,28.42,28.17,27.46,22.72,10.19,1.53