prec,2015,4.57,32.51,14.48,95.25,160.78,148.84,170.18,163.07,166.37,27.43,93.73,141.48
tmin,2015,-10.88,-14.96,-4.39,4.35,10.23,16.2,17.53,15.48,14.38,5.83,0.48,-4.07
tmax,2015,2.56,-1.55,12.96,18.2,21.54,27.93,29.34,27.71,27.26,19.91,12.78,5.2
prec,2016,17.53,25.4,41.4,136.14,141.22,50.8,151.89,169.42,138.68,45.97,29.72,32.26
tmin,2016,-10.5,-5.77,0.13,4.65,9.89,17.26,17.9,17.09,13.89,6.56,1,-9.83
tmax,2016,-0.63,5.08,14.23,17.81,22.26,31.15,29.57,28.8,26.82,20.84,14.98,1.22
prec,2017,30.99,21.59,73.15,84.07,148.59,101.6,63.5,131.83,72.39,152.91,7.87,10.92
tmin,2017,-8.1,-4.79,-1.52,5.02,9.35,15.74,18.7,14.39,12.92,5.93,-3.33,-9.05
tmax,2017,0.9,8.93,10.97,17.62,22.58,30.04,31.33,27.38,27.38,19.23,10.34,3.51
prec,2018,24.13,26.16,57.91,21.59,103.89,199.39,83.31,175.77,166.62,114.05,36.07,64.77
tmin,2018,-12.85,-11.56,-2.13,-1.69,13.71,17.53,17.07,16.33,13.54,2.99,-6.31,-6.55
tmax,2018,-1.45,0.27,8.64,12.43,27.38,29.66,30,29.19,25.57,15.88,5.11,3.28
prec,2019,22.1,47.5,81.28,36.32,228.35,89.92,75.18,108.71,180.09,136.91,26.42,33.27
tmin,2019,-10.88,-14.52,-5.29,3.7,8.89,15.57,18.76,16.52,15.24,2.74,-4.43,-6.17
tmax,2019,-0.09,-3.63,5.38,17.54,19.71,27.54,30.18,27.28,27.09,15.02,7.04,4.85
prec,2020,29.46,4.06,62.48,41.4,112.52,76.96,104.65,20.83,68.33,38.86,46.48,29.97
tmin,2020,-8.87,-8.54,-0.59,1.42,9.63,17.74,18.75,16.25,10.37,1.67,-0.67,-7.89
tmax,2020,0.23,3.54,11.22,16.11,19.76,29.92,30.48,29.68,24.06,14.83,13.56,4.07
prec,2021,34.8,23.37,105.92,39.88,107.7,99.57,126.75,97.28,41.91,137.16,22.61,10.41
tmin,2021,-7.87,-14.96,-0.05,2.96,10.02,16.72,17.38,17.43,12.41,6.52,-1.43,-5
tmax,2021,1.5,-5.02,13.24,16.94,21.54,30.48,29.89,30.13,27.67,19.91,11.81,8.1
prec,2022,13.72,5.08,66.29,69.34,118.87,74.17,66.8,80.77,54.86,19.56,35.05,33.27
tmin,2022,-14.53,-11.79,-3.89,0.73,10.88,16.56,18.32,16.9,11.91,2.26,-3.7,-11.09
tmax,2022,-0.38,4.38,10.72,15.46,22.67,29.5,30.57,30.48,26.67,19.74,10.02,0.36
prec,2023,41.91,59.18,26.16,72.39,55.12,85.09,112.01,102.11,46.99,57.4,11.68,46.48
tmin,2023,-7.72,-9.13,-4.5,2.81,11.06,15.81,16.92,16.88,12.37,5.38,-3.49,-3.42
tmax,2023,1.65,4.68,7.67,18.46,25.22,29.96,29.05,29.41,27.81,19.34,11.92,7.26
prec,2024,32,2.79,64.52,85.34,220.73,107.44,94.23,89.41,24.89,41.66,98.3,0.51
tmin,2024,-11.37,-4.52,-2.49,4.35,10.63,16.87,17.22,16.33,12.12,5.91,-0.3,-10.21
tmax,2024,-2.74,11.37,12.76,18.52,23.92,29.69,29.28,28.91,28.02,23.62,11.39,3.13